id,name,year,chart_rank,de_rank,type
Wunder_24,Wunder_24,2024,2,1,1
Ayliva,Ayliva,,,,2
Apache,Apache,,,,2
Berky,Berky,,,,2
Masri,Masri,,,,2
OM,OM,,,,2
WR,WR,,,,2
Zeit_24,Zeit_24,2024,7,2,1
SoBa,SoBa,,,,2
HG,HG,,,,2
Ericson,Ericson,,,,2
DM,DM,,,,2
ER,ER,,,,2
Komet_24,Komet_24,2024,8,3,1
UL,UL,,,,2
ChJ,ChJ,,,,2
MT,MT,,,,2
Jumpa,Jumpa,,,,2
Sira,Sira,,,,2
WMCE,WMCE,,,,2
9bis9_23,9bis9_23,2023,1,1,1
9bis9_24,9bis9_24,2024,13,4,1
Badchieff,Badchieff,,,,2
Bausa,Bausa,,,,2
southstar,southstar,,,,2
FM,FM,,,,2
BBP_24,BBP_24,2024,15,5,1
SD,SD,,,,2
The_Cratez,The_Cratez,,,,2
Bozza,Bozza,,,,2
Laas,Laas,,,,2
Sergen,Sergen,,,,2
Timey,Timey,,,,2
JMR,JMR,,,,2
Vempa_24,Vempa_24,2024,18,6,1
Fourty,Fourty,,,,2
Chekaa,Chekaa,,,,2
Mama_24,Mama_24,2024,21,7,1
Sido,Sido,,,,2
SDP,SDP,,,,2
EG,EG,,,,2
Beatzarre,Beatzarre,,,,2
DAK,DAK,,,,2
TB,TB,,,,2
NM,NM,,,,2
Mittelmeer_24,Mittelmeer_24,2024,25,8,1
Pashanim,Pashanim,,,,2
SP,SP,,,,2
Stickle,Stickle,,,,2
Urban,Urban,,,,2
Jackson_24,Jackson_24,2024,28,9,1
sebo,sebo,,,,2
Rückbank_24,Rückbank_24,2024,31,10,1
Finch,Finch,,,,2
Tream,Tream,,,,2
MM,MM,,,,2
DG,DG,,,,2
WW,WW,,,,2
Komet_23,Komet_23,2023,1,1,1
Sie_23,Sie_23,2023,3,2,1
Wildberry_23,Wildberry_23,2023,4,3,1
Zukunft_23,Zukunft_23,2023,6,4,1
Nachts_23,Nachts_23,2023,7,5,1
9_23,9_23,2023,8,6,1
Friesenjung_23,Friesenjung_23,2023,12,7,1
Mädchen_23,Mädchen_23,2023,13,8,1
Breaking_23,Breaking_23,2023,14,9,1
Mangos_23,Mangos_23,2023,15,10,1
Madonna_21,Madonna_21,2021,11,1,1
Sommergewitter_21,Sommergewitter_21,2021,16,2,1
AufAb_21,AufAb_21,2021,17,3,1
Ohne_Dich_21,Ohne_Dich_21,2021,18,4,1
Blaues_Licht_21,Blaues_Licht_21,2021,27,5,1
Roller_21,Roller_21,2021,30,6,1
Liege_wieder_wach_21,Liege_wieder_wach_21,2021,36,7,1
Ich_darf_das_21,Ich_darf_das_21,2021,39,8,1
Drei_Uhr_nachts_21,Drei_Uhr_nachts_21,2021,40,9,1
Frag_mich_nicht_21,Frag_mich_nicht_21,2021,41,10,1
Miksu,Miksu,,,,2
WMGer,WMGer,,,,2
Mero,Mero,,,,2
OA,OA,,,,2
Eddy,Eddy,,,,2
TH,TH,,,,2
Frio,Frio,,,,2
Kyree,Kyree,,,,2
Montez,Montez,,,,2
Aside,Aside,,,,2
NC,NC,,,,2
UDV,UDV,,,,2
WaB,WaB,,,,2
JF,JF,,,,2
MB,MB,,,,2
WB,WB,,,,2
Kasimir,Kasimir,,,,2
BMJ,BMJ,,,,2
YJ,YJ,,,,2
MG,MG,,,,2
JM,JM,,,,2
Maury,Maury,,,,2
TR,TR,,,,2
PF,PF,,,,2
RC,RC,,,,2
Inéz,Inéz,,,,2
BMC,BMC,,,,2
TW,TW,,,,2
VG,VG,,,,2
DK,DK,,,,2
JJ,JJ,,,,2
SB,SB,,,,2
DC,DC,,,,2
GR,GR,,,,2
JG,JG,,,,2
TS,TS,,,,2
TC,TC,,,,2
CJ,CJ,,,,2
GJ,GJ,,,,2
LJ,LJ,,,,2
Lucry,Lucry,,,,2
JenA,JenA,,,,2
WMG,WMG,,,,2
Suena,Suena,,,,2
Makko,Makko,,,,2
Macloud,Macloud,,,,2
Jamule,Jamule,,,,2
BEKR,BEKR,,,,2
Indip,Indip,,,,2
TwoSides,TwoSides,,,,2
MMC,MMC,,,,2
Barsky,Barsky,,,,2
Deats,Deats,,,,2
CP,CP,,,,2
LIP,LIP,,,,2
BS,BS,,,,2
JA,JA,,,,2
JD,JD,,,,2
LA,LA,,,,2
YM,YM,,,,2
Futura,Futura,,,,2
RCM,RCM,,,,2
DN,DN,,,,2
JW,JW,,,,2
Mark_Foster,Mark_Foster,,,,2
Ski_Aggu,Ski_Aggu,,,,2
Joost,Joost,,,,2
LEA,LEA,,,,2
BE,BE,,,,2
PR,PR,,,,2
Otto,Otto,,,,2
Tantu,Tantu,,,,2
VA,VA,,,,2
Nimo,Nimo,,,,2
Sting,Sting,,,,2
NeDo,NeDo,,,,2
Koda,Koda,,,,2
LO,LO,,,,2
Kalli,Kalli,,,,2
Atze,Atze,,,,2
AS,AS,,,,2
LB,LB,,,,2
FML,FML,,,,2
Dokii,Dokii,,,,2
PP,PP,,,,2
ULS,ULS,,,,2
DF,DF,,,,2
LDS,LDS,,,,2
ND,ND,,,,2
Octavian,Octavian,,,,2
LMMG,LMMG,,,,2
TK,TK,,,,2